'abbreviation','name','capital','area_size'
'AK','Alaska','Juneau',570641
'AL','Alabama','Montgomery',50750
'AR','Arkansas','Little Rock',52075
'AZ','Arizona','Phoenix',113642
'CA','California','Sacramento',155973
'CO','Colorado','Denver',103730
'CT','Connecticut','Hartford',4845
'DC','District of Columbia','Washington',68
'DL','Delaware','Dover',1955
'FL','Florida','Tallahassee',53997
'GA','Georgia','Atlanta',57919
'HI','Hawaii','Honolulu',6423
'IA','Iowa','Des Moines',55875
'ID','Idaho','Boise',82751
'IL','Illinois','Springfield',55593
'IN','Indiana','Indianapolis',35870
'KS','Kansas','Topeka',81823
'KY','Kentucky','Frankfort',39732
'LA','Louisiana','Baton Rouge',43566
'MA','Massachusetts','Boston',7838
'MD','Maryland','Annapolis',9775
'ME','Maine','Augusta',30865
'MI','Michigan','Lansing',56539
'MN','Minnesota','Saint Paul',79617
'MO','Missouri','Jefferson City',68898
'MS','Mississippi','Jackson',46914
'MT','Montana','Helena',145556
'NB','Nebraska','Lincoln',76878
'NC','North Carolina','Raleigh',48718
'ND','North Dakota','Bismarck',68994
'NH','New Hampshire','Concord',8969
'NJ','New Jersey','Trenton',7419
'NM','New Mexico','Santa Fe',121365
'NV','Nevada','Carson City',109806
'NY','New York','Albany',47224
'OH','Ohio','Columbus',40953
'OK','Oklahoma','Oklahoma City',68679
'OR','Oregon','Salem',96003
'PA','Pennsylvania','Harrisburg',44820
'RI','Rhode Island','Providence',1034
'SC','South Carolina','Columbia',30111
'SD','South Dakota','Pierre',75898
'TN','Tennessee','Nashville',41220
'TX','Texas','Austin',216914
'UT','Utah','Salt Like City',82168
'VA','Virginia','Richmond',39598
'VT','Vermont','Montpelier',9249
'WA','Washington','Olympia',66582
'WI','Wisconsin','Madison',54314
'WV','West Virginia','Charleston',24087
'WY','Wyoming','Cheyenne',97105
